time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,9.287586895256591e-13,0.0,0.0036230773079173736,0.9999999999990712,0.996383478117345,1.0
1,4.646846465203949e-12,9.243057162642975e-13,0.016892224287546387,0.9999999999953532,0.9832496493560745,0.9999999999990757
2,1.1145104679710266e-11,3.0975584568314822e-12,0.05835719954895233,0.9999999999888549,0.9433129362949024,0.9999999999969025
3,0.0065530713157140805,5.111509524048889e-12,0.10269776804492677,0.9934683532317128,0.9023996662866002,0.9999999999948885
4,0.02778387208998291,0.006280481812086243,0.2693875919019009,0.9725985497790742,0.7638471373006613,0.9937391991901957
5,0.04308588198781707,0.013078003991736482,0.569142779702182,0.9578291262652391,0.5660104264254857,0.9870071415205155
6,0.20781299763536684,0.051293989165113824,1.1051164507952607,0.8123589355506542,0.331172314716998,0.9499993399615442
7,0.2675626360346777,0.08586680343171846,1.27579692368851,0.7652423973723282,0.27920837177150104,0.917716459762855
8,0.4458624908039032,0.13903323121499694,1.4559073932166167,0.6402718092703217,0.2331886740516831,0.8701991102040385
9,0.702195900494339,0.28439815128933166,1.7447130586497954,0.49549604826340593,0.17469510902616633,0.7524669893540815
10,1.2394456430698517,0.6117724252569581,2.420838412004309,0.2895446845595228,0.08884709575217807,0.5423886732327622
11,1.6154158893349915,0.8846568590987549,2.8938245163511658,0.19880797113022664,0.05536406641450133,0.41285581669285976
12,2.1844038391207277,1.3354723869700929,3.535332528746979,0.11254480847058763,0.029149062476413502,0.26303389232004803
13,3.10999755245343,2.001567207666458,4.710043287132904,0.04460106450332338,0.009004387799868924,0.13512335085758456
14,3.612049181411804,2.468446634974945,5.334576089378906,0.026996469483127217,0.004821953756490722,0.08471635226526487
15,4.84131763752124,3.2842715793969424,6.83858099242627,0.007896642281468457,0.0010716229623488828,0.03746786752231523
16,5.499393430699127,3.8810306040716247,7.518715065627075,0.004089251100525739,0.0005428296183516023,0.02062955332051408
17,6.7572295773269655,4.961355585943634,8.985243899219178,0.001162445181484408,0.00012524435370448218,0.007003427646805808
18,7.049954402469299,5.1591872059565125,9.419655496427307,0.0008674485099153071,8.111395854480639e-05,0.005746368402053611
19,7.353213269995881,5.347250318367309,9.88765535449707,0.0006405308514705422,5.0797909566256726e-05,0.004761224869256337
20,7.938888932093994,5.933923608096374,10.369925713331817,0.0003566024678378853,3.1361619759181075e-05,0.002648071583851083
