time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,8.575807294184685e-15,0.0,3.345412877967417e-05,0.9999999999999915,0.9999665464308034,1.0
1,4.2907226883233785e-14,8.534690219312311e-15,0.00015597642519407274,0.9999999999999571,0.9998440357384961,0.9999999999999915
2,1.029096912735486e-13,2.8601686000726224e-14,0.0005388483609404445,0.9999999999998971,0.9994612967917647,0.9999999999999714
3,6.050858788445353e-05,4.719775023910761e-14,0.0009482724395784379,0.9999394932427232,0.9990521770286473,0.9999999999999528
4,0.0002565457912987709,5.7991599263088704e-05,0.002487423376652396,0.9997434871137588,0.9975156676974072,0.9999420100822172
5,0.00039783877684763664,0.00012075735418743731,0.005255249675343871,0.9996022403505049,0.9947585349913715,0.9998792499366884
6,0.0019188668068968059,0.00047362934138971564,0.010204228317361713,0.9980829730410187,0.9898476581832077,0.999526482803281
7,0.002470572422777939,0.0007928616631023289,0.011780227401860594,0.997532476929538,0.9882888878130918,0.9992074525686532
8,0.0041169260045279266,0.0012837803961722135,0.013443299517101883,0.9958915369176107,0.986646658073718,0.9987170432973623
9,0.006483811988323331,0.002626025218160081,0.01611002205779612,0.9935371625644581,0.9840190502985392,0.9973774197698615
10,0.011444573392914891,0.005648875737118721,0.02235310845092821,0.9886206666186108,0.9778948711362224,0.9943670491613935
11,0.01491614078354001,0.00816858763279438,0.02672048366846442,0.9851945537823749,0.9736333499154246,0.9918646846217509
12,0.02016996081785679,0.012331248112692832,0.032643926597210174,0.9800320920951184,0.9678831356798251,0.9877444701740935
13,0.02871654391610384,0.018481716352041364,0.04349076249111533,0.9716918574025124,0.9574413984235416,0.98168802326593
14,0.03335229922072172,0.022792704818013907,0.049257462734527586,0.967197756544319,0.9519360100970226,0.977465086576266
15,0.04470290030936241,0.030325724522761107,0.06314487650896072,0.9562815505854826,0.9388074526899154,0.9701294871150585
16,0.0507793238743937,0.035835972183851005,0.06942497790855884,0.9504883974877012,0.9329301211280652,0.9647985343014255
17,0.06239370823794603,0.04581128543164372,0.08296635179834128,0.9395129199901223,0.9203821159021405,0.955222209529486
18,0.06509661882059335,0.047637987963808776,0.08697754457212686,0.936976929397989,0.9166976802406734,0.9534788954434495
19,0.06789679677584767,0.04937449178268909,0.09129887867298127,0.9343568972458159,0.912744870152595,0.9518246124503577
20,0.07330470484894752,0.0547916115729022,0.09575198119326711,0.9293176192953309,0.9086893601735642,0.9466824050570722
21,0.07642494396209358,0.05699735770358801,0.09971631368446708,0.9264224452775993,0.905094144442401,0.944596565267341
22,0.08887202949547172,0.06592766356583833,0.1153822626615882,0.9149626543153487,0.8910254730292385,0.9361985831094898
23,0.09904573624027968,0.07453763999804258,0.12809638504961016,0.9057012837047262,0.8797685785198671,0.9281725369889964
24,0.10279700761039853,0.07692202418907643,0.1334507665890336,0.9023101169793266,0.8750705506251233,0.9259620534335397
25,0.12147912170200348,0.09195398679608345,0.1561086490522778,0.8856095431757997,0.8554662397254083,0.9121471193909059
26,0.12969567390043737,0.09721604840053678,0.16693563904564976,0.878362698944352,0.8462540753044024,0.9073599512891803
27,0.1334647728910446,0.10089488005009889,0.17093601670828343,0.875058294208544,0.8428755016954547,0.9040280592754921
29,0.15083234718753935,0.11318075585482956,0.19379060193008182,0.8599918666289186,0.8238303947029553,0.892989232494888
30,0.16420855589411973,0.1275433045701325,0.205371567693758,0.8485650301859285,0.8143446760160082,0.8802552959316469
31,0.1749599992010546,0.1358850868340969,0.2210750030252814,0.8394906003923198,0.8016565513687086,0.8729429393621336
32,0.19047176343663932,0.14903420940092324,0.23770170009537936,0.8265690968702218,0.7884378469530869,0.8615396416398178
34,0.2138061378092408,0.16936247574538468,0.26552657599824664,0.8075049145213934,0.7668020640845271,0.8442028448645419
36,0.23928463058367969,0.18966641666822434,0.2960077673538864,0.7871907919081329,0.7437816507824468,0.8272350397427348
37,0.24646512196097373,0.19467489245907427,0.3064378143810451,0.7815586202936958,0.7360642893696154,0.8231022112977191
38,0.2530034446674466,0.19937527951678038,0.3164406691968679,0.7764652071547087,0.7287382469026398,0.8192423907482979
40,0.27413761304129364,0.21828654481983903,0.3398534663829565,0.760227450850619,0.7118746286844837,0.8038950566961356
44,0.2902525497825682,0.2347571324516654,0.35411902535613776,0.7480746176379071,0.7017914314089869,0.7907628769504282
45,0.29938311456913946,0.2419049819705534,0.3659361953933716,0.7412753616362728,0.6935470512948473,0.7851307755868484
46,0.33533479627648594,0.2701093506718278,0.4101237386553765,0.7150986339109501,0.6635681360271767,0.7632960228402031
47,0.3447008010729194,0.27840688362754584,0.4216342985757589,0.7084322839407983,0.6559738861190428,0.7569887525148351
48,0.3553494150392103,0.287769581813705,0.431636825849998,0.7009284854608733,0.6494451955677675,0.7499343708501813
49,0.37757421578149797,0.3065728083052158,0.45968096744737624,0.6855223231213794,0.6314850776697817,0.7359649318692318
53,0.3890399804909945,0.31606943980470303,0.47451102094436887,0.6777071744067437,0.6221892195912802,0.7290088261794675
55,0.40176437832641604,0.32469793013499976,0.4904797649587512,0.6691383906247941,0.6123325480018674,0.7227456403495042
57,0.42801546371089216,0.3424818160233617,0.5247328472070694,0.6518013354533895,0.5917134211462938,0.7100060300012303
58,0.4418591179297328,0.3548083288205862,0.5442870797585249,0.6428401937337067,0.5802553116728871,0.701307850830028
60,0.4564934575318098,0.3626475999061644,0.564646128772974,0.6335011540411172,0.56856130865067,0.6958316014195928
61,0.4732777800897956,0.3762227480123997,0.585773153620851,0.6229570020892181,0.5566752998646288,0.6864494107695053
68,0.49189265457341674,0.38736913160272124,0.6143501897778153,0.6114680006029162,0.5409923234580554,0.6788404672025254
69,0.5318158247757078,0.4163033253415227,0.6706612324439765,0.5875371359841545,0.5113703313151436,0.6594802030853386
83,0.5570791383268237,0.4480031117637754,0.6878031368281364,0.5728799255007585,0.5026791743020574,0.6389026959145578
94,0.59528224729774,0.47043097581022975,0.7487325158255458,0.5514069107917247,0.4729656494637581,0.6247329654594018
96,0.6394565641186476,0.49806291412303444,0.8185985393947124,0.5275790515410184,0.4410493348453438,0.607706700365641
105,0.6987367556445241,0.528782758515501,0.9225324750368357,0.4972130087623434,0.39751107842011485,0.5893218803035877
122,0.8204271884597183,0.5717136962899566,1.2357092079485892,0.4402435473673597,0.29062857316680674,0.5645571297840335
