time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,8.27971409420948e-15,0.0,3.2299072502992986e-05,0.9999999999999917,0.9999677014491064,1.0
1,4.1425787565149546e-14,8.240016650848746e-15,0.0001505910944290352,0.9999999999999586,0.9998494202438407,0.9999999999999918
2,9.935657274460172e-14,2.7614167923170567e-14,0.0005202437759702993,0.9999999999999006,0.9994798915273583,0.9999999999999724
3,5.841943396598363e-05,4.556817387148046e-14,0.0009155318460166551,0.9999415822724159,0.9990848871253936,0.9999999999999545
4,0.0002476881454025841,5.598934832525206e-05,0.0024015411824727796,0.9997523425267737,0.9976013402104966,0.999944012219049
5,0.00038410276897454495,0.00011658801709818817,0.005073803936224198,0.9996159709890502,0.994939046064986,0.9998834187790205
6,0.0018526149202008964,0.00045727654538072344,0.009851911327005124,0.9981491001115591,0.9901964597718054,0.9995428279896044
7,0.0023852720342154693,0.0007654868703962446,0.01137349657079146,0.997617570466628,0.9886909371311524,0.9992348060399336
8,0.003974782675867963,0.001239455864086957,0.012979148512339568,0.9960331063169869,0.9871047174075347,0.9987613119440784
9,0.0062599482080630065,0.0025353575779732654,0.015553798273943304,0.9937596044469102,0.9845665373466229,0.9974678537265425
10,0.011049431543055797,0.005453839440722466,0.021581332315622995,0.9890113892079669,0.9786498783714099,0.9945610057415921
11,0.014401137623560666,0.007886554330447198,0.025797917052532433,0.9857020627639147,0.9745320060115319,0.9921444629457842
12,0.019473561279356955,0.011905492427178383,0.03151684382186866,0.9807148236911606,0.9689746350801344,0.9881650975339966
13,0.027725060188838482,0.017843606102126954,0.04198917569075799,0.9726557518309014,0.9588801597316858,0.98231464836248
14,0.03220075876930666,0.022005750928526163,0.04755677156185913,0.968312165405793,0.9535563367133805,0.9782346092777136
15,0.04315946254931068,0.02927868131067777,0.06096470059009934,0.9577586512531409,0.9408564508673571,0.9711457865712605
16,0.049026088058479064,0.0345986790271666,0.06702797163708019,0.9521562894655288,0.9351690427618564,0.9659930117324865
17,0.06023946758202314,0.044229578936486005,0.0801018083505311,0.9415390385090139,0.9230223702179224,0.9567342862181353
18,0.0628490559366622,0.04599321169812131,0.0839745084013152,0.9390852123293304,0.919454694166459,0.9550484453258655
19,0.06555255335528255,0.04766975999854564,0.08814664166332245,0.936549826630519,0.9156265978708351,0.9534486019601079
20,0.07077374491860008,0.052899845229992394,0.09244599383337092,0.931672663957016,0.9116984469731685,0.9484750020210765
21,0.07378625288154578,0.05502943451529169,0.0962734515263369,0.9288702159558448,0.9082156291593275,0.946457289031932
22,0.08580358326074243,0.06365140755839109,0.11139850903934717,0.9177744797883474,0.8945821788008492,0.9383320379820117
23,0.09562602682036639,0.0719641110475278,0.12367365640687181,0.908803820780342,0.8836681732792778,0.9305642921895764
24,0.09924777966169239,0.07426617063390636,0.12884316952405692,0.9055183112034062,0.8791118262610396,0.9284245416016399
25,0.11728486445705415,0.08877913115078544,0.15071875305111193,0.8893318180508528,0.8600895622110606,0.9150476567796174
26,0.1252177273012686,0.0938595118235805,0.16117192423031687,0.882304779831561,0.8511457259535506,0.9104106551895734
27,0.12885669223651885,0.09741132603934048,0.1650341825786276,0.8790999383649696,0.8478647213900625,0.9071827814795617
29,0.14562462378535723,0.1092730127086661,0.18709967739292382,0.8644821483228028,0.8293610637165505,0.8964856321142918
30,0.15853899790265608,0.12313967189858317,0.19828079214617728,0.8533896827342174,0.820139532063797,0.8841401644010349
31,0.16891923076328566,0.1311934410438633,0.21344204173839806,0.844577116480282,0.807798977418281,0.8770481008805096
32,0.1838954270048356,0.14388856952662038,0.22949467600931883,0.8320228063944426,0.7949352008541761,0.8659842397168206
34,0.20642414549684285,0.16351497058593703,0.25635885442186596,0.813487965842127,0.7738642143632785,0.8491537865766923
36,0.23102295333931686,0.1831178860969734,0.2857876348291314,0.7937212472730412,0.7514221749024715,0.8326699897358444
37,0.23795552698754308,0.1879534364041879,0.2958575681207287,0.7882377456213545,0.7438933746062374,0.8286532914112943
38,0.24426810384569883,0.19249153522507906,0.30551505868223666,0.78327760637096,0.7367438103550351,0.8249013007778935
40,0.2646725819025922,0.21074985942684224,0.32811949231707094,0.7674571882160456,0.7202769470015603,0.8099766495665125
44,0.28023112517285703,0.22665177418274163,0.341892510487864,0.7556090809928313,0.710424563794975,0.7971983390042449
45,0.2890464428867626,0.23355283298392965,0.35330167419158937,0.7489774199214053,0.7023652759370187,0.7917157659289221
46,0.3237568363846088,0.2607834016106963,0.3959635732040596,0.7234261319077122,0.6730312118614814,0.7704477792916954
47,0.33279946517269376,0.26879444922451257,0.40707671298620696,0.7169139459559417,0.6655931287065007,0.7643003420310417
48,0.3430804190369768,0.27783388556823013,0.4167338873150182,0.7095811454332653,0.6591963171072561,0.757422629894527
49,0.36453787366888046,0.2959879011678982,0.4438097609300041,0.6945175315673218,0.6415874642207553,0.7437964270338293
53,0.37560776486506936,0.30515664656719566,0.45812778356563333,0.6868716954242873,0.6324666521995211,0.7370079155887782
55,0.38789283290405274,0.3134872247330499,0.4735451816422391,0.678485050640636,0.6227904446896,0.7308937163062987
57,0.4132375583847117,0.3306570940629649,0.5066156224920273,0.6615051180733569,0.6025313254673091,0.7184514880867616
58,0.42660323872466327,0.34255801466887,0.5254947144892931,0.6527224758610319,0.5912627857342554,0.7099519305646195
60,0.44073230479462144,0.35012662262250305,0.5451508353986263,0.6435649627707317,0.5797543292690668,0.7045988659137419
61,0.45693712228618866,0.36323306744460104,0.5655484165709901,0.6332201542466726,0.5680485340893539,0.695424333837351
68,0.47490928902651314,0.37399460465577794,0.5931387857249236,0.6219414708225509,0.5525900979210592,0.687980623711249
69,0.5134540491488147,0.4019297999657512,0.6475056013060999,0.598425015541617,0.5233495925068404,0.6690277098100281
83,0.5378451071682095,0.43253510153330565,0.6640556545503425,0.5840053663923048,0.5147594089561659,0.6488620766809161
94,0.5747291938714647,0.4541886083902478,0.7228813511559987,0.5628572733690986,0.48535177039884564,0.634962962609165
96,0.6173783231064653,0.4808665106856966,0.7903351406603717,0.5393566044104365,0.45369271892286783,0.6182474416218245
105,0.6746117730251766,0.5105257042593098,0.8906805941299581,0.5093541272394742,0.41037635794560623,0.6001799786922197
122,0.7921006527477479,0.5519743840599656,1.1930444090475654,0.4528924256152873,0.30329649849451507,0.5758118136624389
