time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,7.588129325925586e-12,0.0,0.02960120802136926,0.9999999999924118,0.9708326166206674,1.0
1,3.796559034478198e-11,7.551747715316528e-12,0.13801257952365234,0.9999999999620344,0.871087733808125,0.9999999999924483
2,9.105755522331885e-11,2.5307622345968264e-11,0.4767890543263257,0.9999999999089424,0.6207734649595607,0.9999999999746924
3,0.053539797997527096,4.1761973003980957e-11,0.8390596547816016,0.9478682169961821,0.4321166712851877,0.9999999999582381
4,0.22699934543970704,0.051312691613764165,2.200946176014016,0.7969213039230111,0.11069836865418617,0.9499815728138158
5,0.3520195809011499,0.10684969813305396,4.65000119622312,0.7032663512526138,0.009561590492741055,0.8986607332261034
6,1.6978704150491455,0.4190813263090942,9.029004674104469,0.18307297867749472,0.00011988175522524124,0.6576507087880985
7,2.186035950903047,0.7015475780651734,10.423495531988745,0.11236127257893129,2.9725790202028937e-05,0.49581739362150384
8,3.6427785601954836,1.1359270722942334,11.895031196899145,0.026179501493168493,6.824228955016923e-06,0.32112427787349096
9,5.737069666402954,2.323585207197114,14.254626605353637,0.003224202434656959,6.446059704491415e-07,0.09792188527396556
10,10.126498883011744,4.998293241547851,19.77869510630244,4.0005289183206184e-05,2.5717091856611675e-09,0.006749456866564043
11,13.198244949599854,7.227809259407227,23.64307857816284,1.8538519477349987e-06,5.3943787802707794e-11,0.0007261098402979299
12,17.84698115692676,10.911055043487304,28.884317036091065,1.7748210252980427e-08,2.855620543789612e-13,1.8255301198472637e-05
13,25.40925204520166,16.353172247639282,38.4819200041355,9.223633701572742e-12,1.9387173153829874e-17,7.905102968446891e-08
14,29.511106199345214,20.1676630448562,43.584467872781254,1.5257712342163523e-13,1.1789790995221554e-19,1.7429913295592692e-09
15,39.55445559293555,26.833102900661867,55.87246457187891,6.633125301298603e-18,5.431214387088268e-25,2.220912650574824e-12
16,44.93105586727075,31.70873389794214,61.42928505132129,3.066834716089e-20,2.0970098718565854e-27,1.6946180970558584e-14
17,55.20780854703369,40.53518771089087,73.41109536975733,1.0557312817094512e-24,1.3120982928574477e-32,2.4876636155971517e-18
18,57.59942421118799,42.15150843482593,76.96031802303955,9.658015638302766e-26,3.771885989201242e-34,4.941200570117756e-19
19,60.07710493921509,43.68801865486816,80.78396294566406,8.106713711364857e-27,8.240824520819046e-36,1.0630032024612324e-19
20,64.86218282561133,48.48124734250928,84.72420048440259,6.771921492287348e-29,1.6023125930786305e-37,8.807685594709332e-22
21,67.62306318429418,50.432957114620606,88.23195976609644,4.282297246886856e-30,4.801166266898306e-39,1.2509645969052547e-22
