time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,5.8829749837806704e-15,0.0,2.2949419916240214e-05,0.9999999999999941,0.9999770508434197,1.0
1,2.943421344701099e-14,5.854768808597088e-15,0.0001069993035056305,0.9999999999999706,0.9998930064207157,0.9999999999999941
2,7.059570237328148e-14,1.9620660477098466e-14,0.0003696481647405338,0.9999999999999294,0.999630420146725,0.9999999999999803
3,4.150868794236088e-05,3.2377498050321575e-14,0.0006505117067674256,0.9999584921735313,0.9993496998301014,0.9999999999999676
4,0.0001759895506780243,3.9782042206747056e-05,0.0017063640770986462,0.9998240259345745,0.9982950909343724,0.9999602187490882
5,0.00027291606393250464,8.283913915299511e-05,0.0036050836163884162,0.9997271211742688,0.9964014068955968,0.9999171642919138
6,0.001316336180948925,0.00032490813650507927,0.0070000663331757544,0.9986845298095018,0.9930243770627724,0.9996751446404275
7,0.0016948043793704223,0.0005439004363813878,0.00808119640880785,0.9983066309905668,0.9919513686782268,0.9994562474506478
8,0.002824197403682041,0.0008806690374759864,0.009222058290909862,0.9971797868901121,0.9908203344723855,0.9991197186376879
9,0.004447873234361172,0.0018014444745847891,0.011051420991984844,0.9955620039042802,0.9890094216222751,0.9982001771526094
10,0.007850938886676694,0.0038751097719383243,0.01533415727703209,0.9921797992403716,0.9847828122729618,0.996132388776907
11,0.010232422450026512,0.0056036236645774845,0.018330161999173162,0.9898197506804307,0.9818368136336436,0.9944120473493577
12,0.013836525337474823,0.008459194764667511,0.02239362394185162,0.9862587594030635,0.9778552520480457,0.9915764835492186
13,0.019699452621053694,0.01267839530747366,0.029834516912976266,0.9804933137233489,0.9706061391595778,0.9874016369623491
14,0.022879565181009292,0.015635718907536508,0.03379045390026856,0.9773801872912754,0.9667740671487659,0.9844858843356867
15,0.030666039382759094,0.020803345109375954,0.043317173079208376,0.9697993938054861,0.9576076145390907,0.9794115517038142
16,0.034834445527819634,0.0245833564870348,0.04762530153429794,0.9657652897861132,0.953490991762976,0.9757163532409777
17,0.04280187416968346,0.0314263878517828,0.05691463851527596,0.9581011958586515,0.9446747047602755,0.9690622885850708
