time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
0,4.671871982915344e-14,0.0,0.00018224920593141745,0.9999999999999533,0.9998177674004463,1.0
1,2.337471730227699e-13,4.64947249287014e-14,0.0008497181266580201,0.9999999999997663,0.9991506427815587,0.9999999999999535
2,5.606246583425216e-13,1.5581438680594637e-13,0.0029355027161403276,0.9999999999994393,0.9970688016590927,0.9999999999998442
3,0.0003296347116554756,2.571208044148178e-13,0.0051659363260662845,0.999670419611897,0.9948473841755041,0.9999999999997429
4,0.0013975933152279665,0.0003159228263272629,0.01355082172953121,0.9986033828634895,0.9865405773452753,0.999684127072034
5,0.002167319963605232,0.0006578539843611412,0.028629204084509658,0.9978350269784761,0.9717767285119596,0.9993423623541289
6,0.010453476584258652,0.0025802068241735456,0.05558992494558602,0.9896009711143529,0.9459269574155289,0.9974231190483596
7,0.01345902220956665,0.004319299703349495,0.06417554926688271,0.986631145453692,0.9378403478933895,0.9956900150557096
8,0.022427919141014482,0.006993694540174637,0.0732355243272274,0.9778217168824752,0.92938191219696,0.9930307044287064
9,0.03532208517707634,0.014305887740120466,0.08776312026857566,0.9652944591461117,0.915977827608472,0.9857959552420525
10,0.06234699539836235,0.030773574295578005,0.12177379635591278,0.9395568083315072,0.885348614936523,0.9696951121192829
11,0.08125917226136398,0.04450029529875183,0.1455660962732887,0.9219547153895008,0.8645327457928293,0.9564753176476116
12,0.10988058804136658,0.06717736371144103,0.17783543968539048,0.8959411149924351,0.8370801623301501,0.935029346353708
13,0.1564401022149582,0.10068348070255852,0.2369261199883156,0.8551827397207671,0.7890495808564987,0.9042191904191689
14,0.1816944655470047,0.12416860057751847,0.2683415708920899,0.8338560732581436,0.7646465554857795,0.8832309150862503
15,0.24352952479702758,0.16520649065373613,0.3439965117067261,0.7838563324915049,0.7089314010058353,0.847718640037827
16,0.2766322660736961,0.19522485602002335,0.3782088357156219,0.7583333107285544,0.6850874150051159,0.8226496595294663
17,0.3399043465269089,0.24956771248179244,0.45197864317008213,0.7118384093223312,0.6363677603779835,0.7791375217078077
18,0.3546290853068466,0.25951910258232497,0.47383055575984956,0.7014335669799896,0.622612741773103,0.7714224716919588
19,0.3698837108920098,0.2689791140557098,0.4973720359051514,0.690814660187158,0.6081266967542576,0.7641592156683356
20,0.3993445573711853,0.29849014352246855,0.5216313553929863,0.6707595463866585,0.593551464342843,0.7419375947052976
21,0.4163427911148338,0.3105064624483414,0.5432279856124611,0.6594541767027196,0.5808701822221278,0.7330755869333496
